# .test .cputime .temperature .time_mat1 .time_mat2
1 0.001071  0.000 0.000018 0.000003
2 0.002056 -0.974 0.000004 0.000003
3 0.003244 -0.974 0.000024 0.000003
4 0.004278 -0.974 0.000004 0.000004
5 0.005270 -0.974 0.000020 0.000005
6 0.006282 -0.974 0.000016 0.000005
7 0.007305 -0.487 0.000021 0.000005
8 0.008307 -0.487 0.000018 0.000005
9 0.009436 -0.487 0.000017 0.000006
10 0.010504 -0.487 0.000018 0.000008
11 0.011449 -0.974 0.000024 0.000008
12 0.012335 -0.974 0.000020 0.000008
13 0.013618 -0.487 0.000027 0.000009
14 0.014447 -0.487 0.000021 0.000011
15 0.015426 -0.487 0.000027 0.000012
16 0.016317 -0.487 0.000025 0.000014
17 0.017530  0.000 0.000025 0.000015
18 0.018624 -0.487 0.000074 0.000016
19 0.019612  0.000 0.000029 0.000018
20 0.020626  0.000 0.000034 0.000019
21 0.021591 -0.974 0.000032 0.000021
22 0.022621 -0.487 0.000038 0.000023
23 0.023706  0.487 0.000034 0.000041
24 0.024623 -0.487 0.000042 0.000027
25 0.025727 -0.974 0.000038 0.000031
26 0.026678 -0.487 0.000044 0.000031
27 0.027471  0.974 0.000043 0.000035
28 0.028843  1.461 0.000048 0.000036
29 0.029499  0.000 0.000034 0.000038
30 0.030840  0.487 0.000058 0.000041
31 0.031827  0.974 0.000038 0.000044
32 0.032752 -0.487 0.000063 0.000046
33 0.033919 -0.487 0.000039 0.000045
34 0.034807  0.000 0.000066 0.000048
35 0.036101  0.000 0.000043 0.000052
36 0.036753  0.974 0.000067 0.000055
37 0.038519  0.487 0.000047 0.000057
38 0.039014 -0.487 0.000071 0.000061
39 0.040572  0.487 0.000053 0.000064
40 0.040659  0.974 0.000075 0.000067
41 0.042182  0.000 0.000057 0.000071
42 0.043088  0.487 0.000082 0.000074
43 0.044226  0.487 0.000062 0.000077
44 0.044655  0.974 0.000087 0.000131
45 0.046044 -0.487 0.000068 0.000086
46 0.047133  0.974 0.000092 0.000088
47 0.047841 -0.487 0.000074 0.000091
48 0.048952  0.487 0.000099 0.000098
49 0.050188  1.461 0.000079 0.000098
50 0.050990  0.974 0.000104 0.000103
51 0.051974  0.487 0.000085 0.000109
52 0.053278 -0.487 0.000110 0.000111
53 0.054070  1.461 0.000091 0.000115
54 0.055076  0.974 0.000118 0.000171
55 0.056144  0.487 0.000098 0.000123
56 0.057079  2.435 0.000118 0.000127
57 0.059038  1.461 0.000118 0.000134
58 0.059185  1.461 0.000126 0.000136
59 0.060449  0.974 0.000126 0.000192
60 0.062505  1.948 0.000133 0.000142
61 0.062058  0.000 0.000132 0.000149
